SUN2017,WIND2017
863.65,59.11
963.17,60.47
1072.73,54.8
1181.24,54.03
1282.08,53.52
1369.33,53.83
1472.98,54.04
1563.4,54.25
1527.81,54.6
1482.66,64.62
1416.05,67.97
1267.55,68.28
1250.85,71.55
1097.45,70.92
1048.02,73.76
1076.02,73.6
1024.68,72.27
1086.38,75.53
1259.76,72.68
1329.38,72.84
1351.38,71.8
1471.55,70.09
1485.51,72.49
1556.46,69.37
1577.19,69.26
1610,67.6
1569.81,72.58
1540.47,73.08
1427.75,71.17
1379.61,86.96
1254.59,95.13
1164.85,96.47
1155.1,101.45
1106.3,94.68
1106.66,87.04
1081.74,86.47
949.86,88.57
901.44,80.72
829.95,76.39
749.66,80.59
678.44,83.03
592.46,79.56
505.25,77.98
425.34,78.94
346.27,83.64
272.18,82.18
204.49,75.47
147.72,78.27
102.9,84.3
66.06,87.67
39.43,85.94
18.45,99.51
4.53,102.61
0,111.97
0,121.75
0,117.57
0,107.73
0,104.62
0,109.69
0,107.21
0,122.22
0,135.13
0,133.81
0,145.1
0,153.76
0,161.31
0,177.98
0,187.4
0,182.19
0,183.92
0,173.67
0,165.8
0,159.48
0,166.66
0,164.22
0,162.5
0,164.39
0,157.95
0,157.22
0,161.48
0,168.85
0,175.58
0,172.66
0.56,175.12
23.26,176.94
49.27,181.11
84.44,187.54
130.56,186.14
189.24,153.69
263.65,139.04
353.23,136.24
451.46,129.94
560.84,127.42
682.17,120.2
807.25,106.74
933.74,102.97
1053.45,103.09
1173.65,100.44
1292.14,86.48
1406.39,84.2
1516.5,92.16
1618.38,96.5
1713.14,99.17
1793.49,107.25
1861.22,106.62
1948.2,108.9
1999.47,108.68
2058.89,111.22
2097.53,101.81
2137.26,99.52
2177.39,89.62
2198.84,84.91
2220.99,83.74
2236.72,85.08
2243.19,85.73
2240.41,88.64
2221.54,95.19
2203.81,100.11
2183.28,100.85
2158.5,106.93
2123.3,120.16
2090.42,129.55
2053.4,135.18
2002.3,146.41
1947.64,155.98
1876.34,184.54
1800.62,197.55
1719.72,198.29
1642.8,196.75
1557.29,199.73
1456.9,220.05
1353.57,243.59
1248.94,265.24
1133.37,290.54
1015.9,322.25
896.62,332.27
777.58,342.29
659.1,356.55
546.86,374.78
439.93,393.35
346.12,408.81
261.36,439.1
190.62,445.11
137.7,458.09
92.35,485.58
56.21,481.16
28.01,441.82
10.95,415.95
1.42,410.79
0,424.92
0,436.19
0,458.01
0,474.32
0,481.21
0,504.01
0,528
0,555.63
0,570.66
0,586.65
0,600.32
0,618.94
0,625.96
0,597.26
0,564.43
0,534
0,495.36
0,446.91
0,415.48
0,401.94
0,399.48
0,429.95
0,441.95
0,448.16
0,483.25
0,517.42
0,548.67
0,567.53
0,549.47
0,509.56
0.53,489.12
20.71,511.8
48.26,521.34
83.15,488.53
128.06,490.73
183.43,482.2
240.8,488.63
296.5,474.77
383.34,450.37
499.79,451.93
563.08,476.96
695.34,470.26
828.14,458.64
961.36,469.73
1042.93,395.38
1157.7,379.86
1285.93,411.19
1343.97,498.77
1417.92,529.36
1475.22,477.59
1535.91,459.38
1581.46,482.45
1642.21,509.39
1699.06,497.58
1712.48,479.33
1756.62,493.25
1761.66,530.79
1784.4,560.91
1846.01,540.8
1836.28,510.79
1800.61,493.64
1750.53,486.61
1689.25,507.28
1670.84,572.29
1641.22,660.88
1590.36,784.66
